Data de Cadastro,ID,SubProduto,Produto Vinculado,Categoria,Fornecedor,Tamanho,UN,Fator,NCM,CST,CFOP,Status
15/06/2025 16:06:54,274,Cerveja Baden Baden Ipa Bier 350ml,Cerveja Baden Baden Ipa Bier 350ml,Bebidas,Bebidas Marra,12,Fardo,,,,,
15/06/2025 16:06:54,275,Cerveja Baden Baden Wit Bier 350ml,Cerveja Baden Baden Wit Bier 350ml,Bebidas,Bebidas Marra,12,Fardo,,,,,
15/06/2025 16:06:54,276,Cerveja Bohemia 473ml,Cerveja Bohemia 473ml,Bebidas,Ambev,12,Fardo,,,,,
15/06/2025 16:06:54,277,Cerveja Bohemia Long Neck,Cerveja Bohemia Long Neck,Bebidas,Ambev,24,Fardo,,,,,
15/06/2025 16:06:54,278,Cerveja Brahma Chopp 350ml,Cerveja Brahma Chopp 473ml,Bebidas,Ambev,12,Fardo,12,,,,
15/06/2025 16:06:54,279,Cerveja Brahma Chopp Long Neck 355ml,Cerveja Brahma Chopp Long Neck 355ml,Bebidas,Ambev,24,Fardo,,,,,
15/06/2025 16:06:54,280,Cerveja Brahma Duplo Malte 350Ml,Cerveja Brahma Duplo Malte 473Ml,Bebidas,Ambev,12,Fardo,,,,,
15/06/2025 16:06:54,281,Cerveja Budweiser 350ml,Cerveja Budweiser 473Ml,Bebidas,Ambev,12,Fardo,12,,,,
15/06/2025 16:06:54,282,Cerveja Budweiser Long Neck 330ml,Cerveja Budweiser Long Neck 330ml,Bebidas,Ambev,24,Fardo,,,,,
15/06/2025 16:06:54,283,Cerveja Corona Extra Long Neck 330ml,Cerveja Corona Extra Long Neck 330ml,Bebidas,Ambev,24,Fardo,,,,,
15/06/2025 16:06:54,284,Cerveja Devassa Lager 473ml,Cerveja Devassa Lager 473ml,Bebidas,Bebidas Marra,12,Fardo,,,,,
15/06/2025 16:06:54,285,Cerveja Eisenbahn Ipa Long Neck,Cerveja Eisenbahn Ipa Long Neck,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,286,Cerveja Eisenbahn Pilsen 473ml,Cerveja Eisenbahn Pilsen 473ml,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,287,Cerveja Eisenbanh Pale Ale Long Neck,Cerveja Eisenbanh Pale Ale Long Neck,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,288,Cerveja Eisenbanh Pilsen Long Neck,Cerveja Eisenbanh Pilsen Long Neck,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,289,Cerveja Eisenbanh Session Ipa Long Neck,Cerveja Eisenbanh Session Ipa Long Neck,Bebidas,Uberlandia Refrescos,,Fardo,,,,,
15/06/2025 16:06:54,290,Cerveja Eisenbanh Unfiltered Long Neck,Cerveja Eisenbanh Unfiltered Long Neck,Bebidas,Uberlandia Refrescos,,Fardo,,,,,
15/06/2025 16:06:54,291,Cerveja Eisenbanh Weizenbier Long Neck,Cerveja Eisenbanh Weizenbier Long Neck,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,292,Cerveja Estrela Galicia 355ml,Cerveja Estrela Galicia 355ml,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,293,Cerveja Heineken 350ml,Cerveja Heineken 473ml,Bebidas,Bebidas Marra,12,Fardo,,,,,
15/06/2025 16:06:54,294,Cerveja Heineken Long Neck 330ml,Cerveja Heineken Long Neck 330ml,Bebidas,Bebidas Marra,24,Fardo,,,,,
15/06/2025 16:06:54,295,Cerveja Heineken Shot 250ml,Cerveja Heineken Shot 250ml,Bebidas,Bebidas Marra,24,Fardo,,,,,
15/06/2025 16:06:54,296,Cerveja Heineken Zero Long Neck 330ml,Cerveja Heineken Zero Long Neck 330ml,Bebidas,Bebidas Marra,24,Fardo,,,,,
15/06/2025 16:06:54,297,Cerveja Kaiser 350ml,Cerveja Kaiser 473ml,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,298,Cerveja Serrana 473Ml,Cerveja Serrana 473Ml,Bebidas,Ambev,12,Fardo,,,,,
15/06/2025 16:06:54,299,Cerveja Skol 350ml,Cerveja Skol 473ml,Bebidas,Ambev,12,Fardo,,,,,
15/06/2025 16:06:54,300,Cerveja Skol Beats Gt lata,Cerveja Skol Beats Gt lata,Bebidas,Ambev,8,Fardo,,,,,
15/06/2025 16:06:54,301,Cerveja Skol Beats Gt Long Neck,Cerveja Skol Beats Gt Long Neck,Bebidas,Ambev,24,Fardo,,,,,
15/06/2025 16:06:54,302,Cerveja Skol Beats Lata Azul 269ml,Cerveja Skol Beats Lata Azul 269ml,Bebidas,Ambev,15,Fardo,,,,,
15/06/2025 16:06:54,303,Cerveja Skol Beats Long Neck,Cerveja Skol Beats Long Neck,Bebidas,Ambev,24,Fardo,,,,,
15/06/2025 16:06:54,304,Cerveja Skol Puro Malte 350ml,Cerveja Skol Puro Malte 473ml,Bebidas,Ambev,12,Fardo,,,,,
15/06/2025 16:06:54,305,Cerveja Sol Premiun Long Neck 330ml,Cerveja Sol Premiun Long Neck 330ml,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,306,Cerveja Stella Artois Long Neck 330ml,Cerveja Stella Artois Long Neck 330ml,Bebidas,Ambev,24,Fardo,,,,,
15/06/2025 16:06:54,307,Chantilly *ChantyPak*,Chantilly *ChantyPak*,Confeitaria,Riberfoods,12x1,UN,1,,,,
15/06/2025 16:06:54,308,Chantilly *Hulala*,Chantilly *Hulala*,Confeitaria,Riberfoods,1L,UN,1,,,,
15/06/2025 16:06:54,309,Chantilly Chocolate *Pastry Pride*,Chantilly Chocolate *Pastry Pride*,Confeitaria,Cecotti,1L,UN,1,,,,
15/06/2025 16:06:54,310,Chantilly Chocolate *Pastry Pride*,Chantilly Chocolate *Pastry Pride*,Confeitaria,Riberfoods,1L,UN,1,,,,
15/06/2025 16:06:54,311,Chantilly Chocolate *Pastry Pride*,Chantilly Chocolate *Pastry Pride*,Confeitaria,Sorpan,907gr,UN,1,,,,
15/06/2025 16:06:54,312,Choco Power Micro Colorido,Choco Power Micro Colorido,Confeitaria,Cecotti,500g,UN,"0,3",,,,
15/06/2025 16:06:54,313,Choco Power Micro Colorido,Choco Power Micro Colorido,Confeitaria,Coppa,500g,UN,"0,5",,,,
15/06/2025 16:06:54,314,Choco Power Micro Colorido,Choco Power Micro Colorido,Confeitaria,Sorpan,"0,300kg",UN,"0,3",,,,
15/06/2025 16:06:54,316,Chocolate Em Gotas Ao Leite Chipshow,Chocolate Em Gotas Ao Leite Chipshow,Confeitaria,Cecotti,"2,5kg",UN,"2,5",,,,
15/06/2025 16:06:54,317,Chocolate Em Gotas Ao Leite Chipshow,Chocolate Em Gotas Ao Leite Chipshow,Confeitaria,Coppa,"2,5KG",UN,2.5,,,,
15/06/2025 16:06:54,318,Chocolate Em Gotas Ao Leite Chipshow,Chocolate Em Gotas Ao Leite Chipshow,Confeitaria,Harald,"4x2,5KG",UN,10,,,,
15/06/2025 16:06:54,319,Chocolate Em Gotas Ao Leite Chipshow,Chocolate Em Gotas Ao Leite Chipshow,Confeitaria,MixPan,1kg,Un,1,,,,
15/06/2025 16:06:54,320,Chocolate Em Gotas Ao Leite Chipshow,Chocolate Em Gotas Ao Leite Chipshow,Confeitaria,Riberfoods,"2,5KG",UN,"2,5",,,,
15/06/2025 16:06:54,321,Chocolate Em Gotas Ao Leite Chipshow,Chocolate Em Gotas Ao Leite Chipshow,Confeitaria,Sorpan,1kg,Un,1,,,,
15/06/2025 16:06:54,323,Chocolate em Po 100% Cacau (Alcalino),Chocolate em Po 100% Cacau (Alcalino),Confeitaria,Cecotti,1kg,UN,1,,,,
15/06/2025 16:06:54,324,Chocolate em Po 100% Cacau (Alcalino),Chocolate em Po 100% Cacau (Alcalino),Confeitaria,Coppa,500gr,UN,"0,5",,,,
15/06/2025 16:06:54,325,Chocolate em Po 100% Cacau (Alcalino),Chocolate em Po 100% Cacau (Alcalino),Confeitaria,Harald,16x500G,UN,8,,,,
